health,fatigue,alcohol,emotion,safety_knowledge,experience,skill,accident_history,violation_history,distance,stay_time,overlap,authorized,ppe_fastened,protection_eff,hazard_type,impact_range,stability_margin,device_abnormality,sensor_coverage,alarm_effect,wind_speed,illumination,Label
0.96,0.68,否,0.81,0.78,14.06,高级,无,无,10.32,56.13,0.31,是,是,0.2,高支模,1.93,0.84,0.1,0.91,0.65,1,0.78,高风险
0.5,0.71,否,0.68,0.91,2.78,中级,无,1次,13.66,30.18,0.32,是,是,0.98,车辆,91.52,0.48,0.26,0.84,0.82,5,0.9,高风险
0.54,0.68,否,0.56,0.87,22.37,初级,无,无,14.26,38.47,0.12,是,是,0.87,配电箱,19.99,0.69,0.3,0.74,0.79,8,0.67,高风险
0.39,0.17,否,0.45,0.71,20.37,高级,无,无,13.83,7.26,0.45,否,是,0.41,车辆,3.77,0.8,0.71,0.94,0.81,3,0.85,高风险
0.39,0.44,否,0.83,0.84,4.75,无证,无,无,10.25,46.25,0.29,是,是,0.9,塔吊,16.58,0.82,0.2,0.64,0.65,2,0.74,高风险
0.64,0.21,否,0.65,0.91,2.69,初级,无,无,18.64,54.29,0.27,是,是,0.31,配电箱,26.22,0.8,0.49,0.59,0.68,3,0.41,极高风险
0.73,0.73,否,0.83,0.89,2.79,中级,无,无,18.25,56.98,0.02,否,是,0.65,塔吊,68.88,0.49,0.65,0.91,0.77,2,0.88,极高风险
0.47,0.45,否,0.61,0.71,3.15,初级,无,1次,22.51,34.2,0.12,是,是,0.81,深基坑,25.95,0.42,0,0.92,0.53,1,0.51,高风险
0.19,0.27,否,0.62,0.81,19.53,高级,1次,无,13.09,10.13,0,是,是,0.41,深基坑,4.46,0.65,0.28,0.67,0.27,1,0.49,高风险
0.24,0.14,否,0.64,0.87,19.96,初级,1次,1次,13.59,13.17,0.31,是,是,0.72,高支模,1.83,0.94,0.31,0.75,0.09,3,0.42,高风险
0.79,0.21,否,0.73,0.8,3.94,初级,无,1次,47.96,29.32,0.12,是,是,0.26,车辆,61.67,0.62,0.27,0.8,0.74,3,0.64,高风险
0.69,0.32,否,0.64,0.72,1.85,中级,无,无,16.93,47.54,0.04,是,是,0.81,高支模,4.28,0.11,0.22,0.87,0.7,5,0.91,低风险
0.8,0.31,否,0.5,0.87,11.64,中级,1次,≥2次,20.69,15.01,0.91,是,是,0.36,配电箱,27.05,0.76,0.08,0.61,0.9,1,0.33,极高风险
0.85,0.45,否,0.92,0.73,6.2,中级,无,≥2次,11.05,12.11,0.27,否,是,0.52,配电箱,0.37,0.54,0.21,0.95,0.66,2,0.26,高风险
0.8,0.4,否,0.64,0.72,1.66,初级,无,无,41.14,37.72,0.17,是,否,0.74,配电箱,14.52,0.69,0.45,0.89,0.55,7,0.44,极高风险
0.64,0.7,否,0.64,0.84,4.66,初级,1次,≥2次,21.57,56.31,0.13,是,是,0.66,车辆,17.53,0.65,0.47,0.63,0.15,2,0.31,极高风险
0.78,0.6,否,0.83,0.69,5.74,中级,1次,无,53.11,16.76,0.09,是,是,0.06,高支模,4.89,0.73,0.94,0.86,0.68,2,0.5,高风险
0.2,0.18,否,0.75,0.86,4.36,高级,无,1次,58.67,66.35,0.31,是,是,0.56,高支模,1.12,1,0.49,0.88,0.29,3,0.67,高风险
0.65,0.1,否,0.59,0.88,6.57,高级,1次,无,17.64,32.67,0.32,否,是,0.62,高支模,9.83,0.59,0.22,0.82,0.78,2,0.47,高风险
0.86,0.61,否,0.68,0.89,10.65,初级,无,无,38.69,29.53,0.04,是,是,0.47,配电箱,26.19,0.76,0.46,0.92,0.22,5,0.6,高风险
0.77,0.55,否,0.51,0.85,3.95,中级,无,1次,34.39,48.13,0.21,是,是,0.71,塔吊,14.67,0.65,0.32,0.96,0.69,3,0.81,中风险
0.59,0.33,否,0.56,0.93,5.26,中级,无,无,9.65,9.92,0.3,是,是,0.7,车辆,21.1,0.51,0.23,0.89,0.22,0,0.79,中风险
0.83,0.45,否,0.81,0.83,35.76,中级,无,1次,26.48,8.36,0.21,是,是,0.52,深基坑,1.23,0.54,0.37,0.76,0.83,2,0.61,无风险
0.56,0.55,否,0.76,0.84,2.46,高级,无,无,53.96,30.61,0.16,是,是,0.88,塔吊,1.99,1,0.34,0.88,0.51,3,0.68,无风险
0.59,0.16,否,0.68,0.78,9.12,中级,无,无,28.94,68.78,0.03,否,是,0.33,配电箱,23.72,0.42,0.54,0.92,0.71,3,0.79,极高风险
0.85,0.09,否,0.67,0.85,3.53,初级,无,1次,24.68,20.57,0.33,是,是,0.6,塔吊,9.3,0.79,0,0.89,0.2,4,0.81,低风险
0.27,0.2,否,0.65,0.9,9.5,高级,无,无,19.59,69.32,0.23,是,是,0.58,深基坑,37.28,0.24,0.64,0.94,0.56,10,0.58,极高风险
0.37,0.3,否,0.68,0.88,6.2,高级,≥2次,无,20.31,67.58,0.16,是,是,0.44,配电箱,23.19,0.37,0.49,0.64,0.39,4,0.64,极高风险
0.53,0.33,否,0.68,0.74,1.14,中级,无,无,71.5,21.72,0.58,是,是,0.74,配电箱,3.92,0.73,0.05,0.74,0.69,2,0.53,低风险
0.68,0.19,否,0.68,0.83,10.12,中级,无,无,13.64,42.29,0.38,是,是,0.3,深基坑,17.96,0.61,0.36,0.86,0.72,1,0.97,中风险
0.76,0.78,否,0.69,0.96,7.59,中级,无,1次,33.42,10.62,0.17,是,是,0.86,车辆,16.3,0.34,0.46,0.9,0.73,7,0.7,高风险
0.79,0.37,否,0.88,0.8,3.64,高级,无,无,22.82,42.59,0.31,是,是,0.93,车辆,57.5,0.52,0,0.91,0.84,1,0.91,无风险
0.41,0.24,否,0.42,0.6,8.83,初级,无,≥2次,25.42,20.82,0.01,是,是,0.73,塔吊,3.02,0.71,0,0.83,0.27,1,0.71,中风险
0.54,0.29,否,0.68,0.85,11.14,高级,无,无,28.24,28.12,0.14,是,是,0.38,深基坑,12.91,0.54,0.39,0.79,0.65,4,0.53,低风险
0.72,0.28,否,0.73,0.64,0.16,中级,无,1次,4.77,9.65,0.01,是,是,0.6,配电箱,22.43,1,0.14,0.65,0.43,4,0.73,中风险
0.83,0.27,否,0.7,0.91,6.98,中级,无,无,24.46,21.64,0.49,是,是,0.84,配电箱,2.62,0.59,0,0.7,0.42,1,0.48,无风险
0.51,0.71,否,0.73,0.64,0.91,中级,无,无,48.67,69.99,0.07,是,否,0.71,高支模,31.15,0.81,0.01,0.65,0.25,2,0.58,极高风险
0.93,0.28,否,0.82,0.99,2.97,高级,≥2次,1次,12.68,33.51,0.03,是,是,0.42,深基坑,13.94,0.71,0.25,0.89,0.86,1,0.31,低风险
0.47,0.3,否,0.66,0.91,12.36,中级,无,1次,19.75,18.21,0.12,是,是,0.4,高支模,90.12,0.58,0.19,0.83,0.4,3,0.78,高风险
0.74,0.2,否,0.52,0.8,1.14,无证,无,无,23.97,38.77,0.02,是,否,0.28,深基坑,14.23,0.75,0.24,0.97,0.9,1,0.24,极高风险
0.83,0.35,否,0.55,0.94,6.26,中级,无,无,21.36,43.33,0.01,是,是,0.9,车辆,17.41,0.78,0.23,0.84,0.62,4,0.71,低风险
0.71,0.11,否,0.84,0.78,0.83,中级,无,≥2次,24.11,19.65,0.05,是,是,0.33,车辆,4.41,0.36,0.16,0.91,0.44,2,0.19,高风险
0.56,0.35,否,0.74,0.78,3.14,中级,无,1次,14.01,22.15,0.31,是,是,0.51,塔吊,19.66,0.13,0.43,0.81,0.5,2,0.37,极高风险
0.87,0.16,否,0.79,0.77,13.7,中级,无,无,18.32,23.66,0,是,是,0.88,配电箱,25.56,0.01,0.28,0.74,0.49,8,0.19,高风险
0.85,0.16,否,0.62,0.66,2.05,初级,无,无,22.44,64.72,0.19,是,是,0.37,配电箱,11.07,1,0.26,0.65,0.81,2,0.72,高风险
0.2,0.2,否,0.64,0.92,0.87,初级,无,无,46.07,26.32,0.3,是,是,0.51,车辆,4.55,0.27,0,0.75,0.81,1,0.87,高风险
0.82,0.61,否,0.76,0.9,4.91,无证,无,无,16.03,34.47,0.22,是,是,0.62,塔吊,1.59,0.87,0,0.86,0.82,4,0.63,高风险
0.66,0.51,否,0.61,0.61,1.87,初级,无,无,24.66,12.48,0.27,是,是,0.77,深基坑,1.67,1,0.21,0.92,0.5,2,0.53,低风险
0.93,0.23,否,0.73,0.83,11.24,初级,无,≥2次,18.47,16.14,0.23,是,是,0.55,配电箱,23.51,0.79,0.35,0.84,0.74,5,0.84,高风险
0.61,0.4,否,0.66,0.68,1.48,初级,无,≥2次,11.46,24.54,0.51,是,是,0.75,车辆,7.28,0.73,0,0.78,0.29,3,0.74,极高风险
0.61,0.11,否,0.68,0.67,21.3,中级,无,无,22.96,12.13,0.29,否,是,0.73,配电箱,4.79,1,0.11,0.77,0.82,2,0.59,高风险
0.05,0.14,否,0.63,0.78,3.73,初级,无,无,13.68,40.62,0.25,是,是,0.34,高支模,17.3,0.73,0,0.7,0.53,2,0.19,高风险
0.68,0.24,否,0.7,0.57,1.26,中级,1次,无,7.14,18.18,0.19,是,是,0.77,车辆,0.83,1,0.31,0.62,0.65,4,0.84,高风险
0.87,0.29,否,0.77,0.77,16.45,中级,无,无,17.05,37.14,0.35,是,是,0.04,高支模,17.8,0.59,0.58,0.72,0.39,1,0.71,高风险
0.69,0.15,否,0.64,0.73,21.3,初级,无,无,35.23,38.26,0.35,是,是,0.53,高支模,16.28,0.27,0.28,0.82,0.82,2,0.42,中风险
0.88,0.2,否,0.66,0.82,30.75,初级,无,无,25.8,60.78,0,是,是,0.35,塔吊,96.22,0.45,0,0.83,0.15,5,0.63,中风险
0.92,0.17,否,0.71,0.84,0.27,中级,无,无,31.9,29.74,0.57,是,是,0.74,车辆,22.74,0.83,0.1,0.75,0.54,0,0.32,低风险
0.85,0.26,否,0.58,0.8,1.2,初级,无,无,11.6,43.29,0.04,是,是,0.73,高支模,0.88,1,0.22,0.81,0.5,1,0.54,无风险
0.46,0.6,否,0.78,0.88,3.84,中级,无,无,22.43,21.84,0.04,是,是,0.48,深基坑,7.29,0.74,0.01,0.97,0.57,6,0.62,低风险
0.54,0.12,否,0.76,0.84,0.87,初级,1次,无,7.32,8.67,0.15,是,是,0.56,塔吊,20.71,0.64,0.46,0.75,0.35,2,0.33,高风险
0.28,0.47,否,0.62,0.78,15.01,中级,无,无,10.61,22.69,0.46,是,否,0.95,深基坑,2.5,1,0.25,0.66,0.49,7,0.77,高风险
0.93,0.22,否,0.68,0.88,10.46,高级,无,1次,25.89,38.04,0.07,是,是,0.96,塔吊,22.7,1,0.16,0.88,0.69,3,0.62,无风险
0.26,0.18,否,0.53,0.87,2.75,中级,无,无,33.04,27.06,0.15,是,是,0.76,车辆,16.93,1,0.05,0.87,0.21,5,0.33,中风险
0.29,0.27,否,0.62,0.68,5.02,高级,无,1次,47.56,48.89,0.36,是,是,0.49,车辆,4.39,1,0.65,0.81,0.44,3,0.43,极高风险
0.79,0.36,否,0.57,0.76,22.37,中级,无,≥2次,10.74,9.16,0.02,是,是,0.63,高支模,21.13,0.42,0.04,0.8,0.6,3,0.59,中风险
0.53,0.21,否,0.6,0.8,25.19,初级,1次,1次,10.67,44.91,0.08,是,是,0.58,车辆,17.74,0.82,0,0.83,0.57,2,0.82,中风险
0.57,0.39,否,0.62,0.7,16.22,初级,无,无,13.64,18.86,0.3,是,是,0.78,深基坑,4.54,0.76,0.46,0.87,0.83,4,0.65,低风险
0.67,0.19,否,0.72,0.85,11.8,初级,无,1次,36.69,21.8,0.06,是,是,0.69,高支模,34.88,0.21,0,0.83,0.38,3,0.33,高风险
0.65,0.23,否,0.73,0.64,1.51,初级,无,1次,12.09,22.07,0.27,是,是,0.87,车辆,8.58,1,0,0.83,0.22,4,0.6,低风险
0.58,0.24,否,0.59,0.78,3.22,初级,无,1次,21.37,46.75,0.36,是,是,0.29,高支模,4.85,0.47,0.4,0.88,0.55,3,0.52,极高风险
0.31,0.24,否,0.52,0.77,6.86,中级,无,无,14.98,96.15,0.08,是,是,0.36,深基坑,11.97,0.66,0.28,0.74,0.77,2,0.82,中风险
0.3,0.15,否,0.72,0.89,3.67,中级,无,≥2次,20.32,19.78,0.23,是,是,0.81,深基坑,23.74,1,0,0.76,0.59,4,0.6,中风险
0.32,0.87,否,0.73,0.78,15.2,中级,1次,无,19.11,26.08,0.4,否,是,0.89,高支模,20.76,0.72,0.39,0.91,0.81,0,0.54,极高风险
0.35,0.12,否,0.64,0.76,5.22,高级,无,无,5.24,24.27,0.6,是,是,0.69,高支模,14.67,0.46,0.38,0.88,0.82,5,0.57,中风险
0.16,0.21,否,0.62,0.7,7.61,中级,无,1次,75.41,45.03,0.23,是,是,0.82,高支模,54.99,0.48,0.35,0.64,0.52,5,0.51,极高风险
0.59,0.63,否,0.68,0.74,17.38,初级,1次,1次,27.5,99.84,0.19,是,是,0.77,高支模,12.85,1,0.31,0.87,0.21,2,0.69,极高风险
0.84,0.48,否,0.6,0.84,3.06,中级,1次,无,27.36,50.5,0.74,是,否,0.82,配电箱,0.06,0.73,0.32,0.77,0.73,4,0.69,极高风险
0.44,0.17,否,0.57,0.82,12.06,高级,无,无,18.38,11.4,0.77,否,是,0.81,车辆,24.19,0.38,0.32,0.97,0.54,4,0.56,极高风险
0.84,0.21,否,0.71,0.7,18.82,高级,1次,无,22.28,62.58,0.02,是,是,0.25,塔吊,1.12,0.69,0.03,0.52,0.62,4,0.41,低风险
0.66,0.16,是,0.74,0.74,8.28,中级,无,1次,43.01,16.61,0.23,是,是,0.65,高支模,4.91,0.88,0,0.8,0.34,2,0.73,高风险
0.22,0.14,否,0.59,0.69,5.88,中级,无,无,32.8,29.18,0.18,是,是,0.45,深基坑,22.26,1,0.54,0.73,0.57,4,0.74,高风险
0.45,0.34,是,0.68,0.85,6.69,初级,无,1次,28.34,25.72,0.17,是,是,0.95,深基坑,19.74,1,0.48,0.69,0.61,0,0.74,极高风险
0.7,0.37,否,0.59,0.66,5.82,高级,无,无,47.55,61.75,0.11,是,是,0.68,配电箱,3.85,0.93,0.34,0.93,0.76,4,0.11,中风险
0.78,0.16,否,0.74,0.77,3.87,中级,无,无,24.06,20.8,0.36,是,是,0.74,深基坑,31.28,0.39,0.06,0.74,0.24,2,0.28,中风险
0.82,0.28,否,0.79,0.79,10.97,中级,无,无,13.9,16.23,0.2,是,是,0.71,塔吊,1.43,1,0,0.81,0.63,0,0.77,无风险
0.69,0.39,否,0.85,0.71,13.63,中级,1次,1次,9.36,53.91,0.17,是,是,0.5,塔吊,16.87,1,0.29,0.67,0,3,0.61,极高风险
0.48,0.3,否,0.83,0.78,11.95,中级,无,1次,27.6,58.65,0.21,是,是,0.37,塔吊,0.72,0.43,0.19,0.73,0.38,3,0.78,高风险
0.8,1,否,0.74,0.67,2.94,高级,1次,1次,22.12,68.96,0.38,是,是,0.58,深基坑,17.68,1,0.01,0.73,0.94,1,0.73,高风险
0.4,0.78,否,0.7,0.74,1.23,中级,无,无,66.8,23.72,0.26,是,是,0.5,塔吊,4.76,0.46,0.09,0.96,0.8,5,0.83,中风险
0.19,0.22,否,0.52,0.74,15.75,初级,无,1次,34.45,35.96,0.24,是,是,0.68,配电箱,15.85,0.82,0,0.95,0.86,0,0.22,高风险
0.73,0.28,否,0.63,0.84,8.72,高级,无,1次,15.51,12.64,0.22,是,是,0.58,车辆,2.98,1,0.59,0.73,0.63,0,0.72,无风险
0.86,0.64,否,0.79,0.94,10.41,中级,无,无,9.52,31.77,0.33,是,是,0.85,塔吊,0.13,0.92,0.38,0.94,0.47,3,0.48,无风险
0.8,0.4,否,0.67,0.86,0.38,中级,1次,无,13.72,44.11,0.21,是,是,0.18,深基坑,2.15,1,0.67,0.71,0.28,5,0.55,极高风险
0.69,0.35,否,0.57,0.76,20.71,高级,无,无,33.02,43.4,0.22,是,是,0.65,塔吊,26.94,0.86,0.12,0.74,0.65,3,0.6,无风险
0.14,0.17,否,0.68,0.56,4.38,中级,无,1次,10.26,46,0.64,是,是,0.33,深基坑,12.28,0.74,0,0.82,0.48,3,0.68,极高风险
0.57,0.41,否,0.8,0.89,11.25,中级,无,无,16.4,26.45,0.55,是,是,0.94,深基坑,81.17,0.83,0,0.75,0.39,3,0.53,低风险
0.17,0.1,否,0.6,0.9,11.06,中级,无,无,27.62,77.37,0.07,是,是,0.88,车辆,0.22,1,0.13,0.94,0.77,5,0.63,高风险
0.83,0.44,否,0.7,0.82,3.9,初级,1次,无,13.49,28.81,0.11,是,是,0.92,车辆,25,0.08,0.27,0.76,0.88,2,0.64,高风险
0.45,0.5,否,0.73,0.67,1.88,高级,无,无,26.33,46.75,0.69,是,是,0.8,深基坑,3.3,1,0.59,0.58,0.3,0,0.66,高风险
0.35,0.23,否,0.69,0.85,10.16,初级,无,无,15.8,14,0.23,是,是,0.65,配电箱,0.2,0.49,0.28,0.7,0.16,6,0.45,中风险
0.69,0.07,否,0.76,0.59,6.99,中级,无,≥2次,41.5,30.87,0.04,是,是,0.94,塔吊,0.48,0.46,0.21,0.83,0.93,2,0.77,高风险
0.59,0.1,否,0.66,0.77,7.32,中级,无,1次,26.6,35.93,0.65,是,是,0.9,塔吊,19.51,1,0.12,0.69,0.34,2,0.81,低风险
0.49,0.22,否,0.79,0.94,4.78,高级,无,1次,10.72,33.2,0.08,是,是,0.89,高支模,14.44,0.46,0,0.89,0.76,6,0.27,无风险
0.53,0.22,否,0.76,0.7,6.43,中级,无,1次,28.37,9.4,0.83,是,否,0.87,车辆,16.46,1,0.21,0.92,0.76,3,0.64,极高风险
0.89,0.81,否,0.81,0.67,3.12,高级,无,1次,33.05,76.9,0.38,是,是,0.67,深基坑,6.32,0.62,0.53,0.75,0.19,8,0.59,极高风险
0.62,0.24,否,0.58,0.79,9.08,高级,无,≥2次,14.19,35.23,0.03,是,是,0.79,深基坑,2.94,0.76,0.59,0.95,0.65,2,0.25,低风险
0.8,0.17,否,0.61,0.66,3.59,中级,无,无,19.68,49.39,0.39,是,是,0.87,配电箱,13.62,0.77,0.41,0.84,0.15,0,0.96,中风险
0.61,0.31,否,0.75,0.82,16.3,高级,无,1次,38.46,39.44,0.37,是,是,0.69,深基坑,18.88,0.89,0.46,0.78,0.42,3,0.53,中风险
0.82,0.41,否,0.65,0.88,6.96,初级,无,1次,21.45,20.26,0.07,是,是,0.58,配电箱,15.21,0.54,0.43,0.73,0.42,2,0.89,高风险
0.83,0.79,否,0.76,0.74,0.14,初级,1次,1次,31.68,49.41,0.11,是,是,0.58,高支模,4.31,0.31,0.26,0.74,0.67,4,0.65,极高风险
0.83,0.17,否,0.62,0.74,2.68,中级,无,1次,18.42,38.6,0.18,否,是,0.94,车辆,2.66,0.72,0.19,0.81,0.57,0,0.51,高风险
0.48,0.42,否,0.8,0.91,3.74,中级,无,无,21.33,30.61,0.22,是,是,0.78,塔吊,8.84,0.94,0.15,0.81,0.53,3,0.38,低风险
0.84,0.24,否,0.7,0.8,23.9,高级,1次,1次,5.41,29.72,0.06,是,是,0.59,车辆,20.84,0.83,0.05,0.81,0.28,1,0.29,低风险
0.8,0.12,否,0.76,0.78,4.31,中级,无,无,76.6,9.25,0.44,是,是,0.76,高支模,40.06,0.6,0.36,0.55,0.65,2,0.64,低风险
0.36,0.29,否,0.69,0.86,17.78,高级,无,1次,22.53,74.31,0.53,是,是,0.87,塔吊,7.94,1,0.41,0.47,0.77,4,0.84,中风险
0.56,0.14,否,0.7,0.68,1.96,初级,无,1次,41.72,62.77,0.37,是,是,0.81,深基坑,18.67,0.86,0.04,0.44,0.84,4,0.29,高风险
0.73,0.07,否,0.59,0.75,2.23,高级,无,无,38.27,39.29,0.21,否,是,0.6,车辆,16.65,0.93,0.08,0.91,0.44,2,0.75,高风险
0.44,0.22,否,0.77,0.66,12.7,中级,无,无,17.05,23.87,0.03,是,是,0.69,深基坑,23.19,0.69,0.22,0.78,0.86,2,0.68,无风险
0.65,0.33,否,0.79,0.64,1.63,初级,1次,无,10.6,11.99,0.32,是,否,0.19,深基坑,1.88,1,0.22,0.8,0.79,3,0.8,极高风险
0.62,0.03,否,0.72,0.73,2.38,中级,无,无,93.7,9.99,0.3,是,是,0.91,塔吊,53.26,0.81,0.29,0.79,0.34,2,0.71,无风险
0.42,0.2,否,0.7,0.7,4.3,高级,无,≥2次,38.29,98.21,0,是,是,0.9,配电箱,16.06,0.89,0.35,0.9,0.52,4,0.66,高风险
0.49,0.64,否,0.59,0.8,1.05,高级,无,无,21.48,34.5,0.01,是,是,0.75,车辆,2.68,0.94,0,0.85,0.59,4,0.61,无风险
0.85,0.53,否,0.76,0.75,17.25,初级,无,无,29.54,22.96,0.21,是,是,0.26,塔吊,1.82,0.65,0.13,0.8,0.3,4,0.8,中风险
0.45,0.14,否,0.58,0.89,25.45,中级,无,无,18,17.43,0.21,是,是,0.9,车辆,17.17,0.67,0.74,0.97,0.25,1,0.3,低风险
0.62,0.18,否,0.61,0.88,31.62,初级,无,1次,33.68,23.84,0.36,是,是,0.26,塔吊,13.67,0.39,0,0.63,0.85,1,0.67,低风险
0.83,0.59,否,0.7,0.91,3.46,中级,无,无,12.42,28.46,0.37,是,是,0.52,配电箱,1.2,0.93,0,0.83,0.81,0,0.73,无风险
0.28,0.36,否,0.87,0.82,5.15,中级,无,1次,15.44,11.53,0.6,是,是,0.68,深基坑,32.71,1,0.12,0.68,0.47,2,0.83,高风险
0.92,0.15,否,0.63,0.81,10.05,中级,无,无,30.08,67.36,0.1,是,是,0.79,深基坑,11.49,0.5,0.06,0.98,0.92,4,0.84,无风险
0.67,0.29,否,0.56,0.8,0.54,中级,无,无,28.36,17.6,0.54,是,是,0.82,高支模,0.09,0.71,0.25,0.86,0.82,4,0.71,无风险
0.6,0.17,否,0.72,0.63,7.01,初级,无,无,16.35,43.19,0.1,是,是,0.23,高支模,0.24,0.7,0.15,0.96,0.55,1,0.23,中风险
0.62,0.14,否,0.77,0.72,6.59,高级,无,≥2次,14.58,34.16,0.1,是,是,0.72,车辆,17.58,0.71,0,0.55,0.75,2,0.57,低风险
0.32,0.16,否,0.77,0.89,32.98,中级,无,≥2次,9.25,59.45,0.52,是,是,0.93,配电箱,20.57,0.47,0,0.96,0.86,1,0.28,中风险
0.49,0.16,否,0.73,0.91,14.39,中级,无,无,27.18,20.48,0.02,是,是,0.72,塔吊,6.24,0.81,0.16,0.73,0.85,7,0.31,无风险
0.64,0.06,否,0.78,0.94,10.97,高级,无,无,11.46,33.53,0.02,是,是,0.3,高支模,13.89,0.93,0.49,0.73,0.1,7,0.84,中风险
